Prase,Pitch,Duration
29,71,1.0
29,64,3.0
29,64,1.0
29,62,1.0
29,62,1.0
29,64,0.5
29,62,0.5
29,60,0.5
29,72,0.5
29,71,0.5
29,69,0.5
29,71,1.0
29,72,1.0
29,74,0.5
29,62,0.5
29,64,1.0
29,62,1.0
29,62,1.0
29,62,1.0
29,60,0.5
29,62,0.5
29,64,0.5
29,65,0.5
29,62,1.0
29,67,1.5
29,65,0.5
29,64,1.0
29,65,1.0
29,67,1.0
29,65,0.5
29,67,0.5
29,69,1.0
29,62,1.0
29,64,3.0
29,67,1.0
29,67,0.5
29,65,0.5
29,64,0.5
29,62,0.5
29,60,1.0
29,60,1.0
29,60,3.0
29,62,1.0
29,60,0.5
29,62,0.5
29,64,0.5
29,60,0.5
29,67,1.0
29,62,1.0
29,64,3.0
